timestamp_us,saddr,daddr,sport,dport,min_rtt,curr_rtt,srtt,rtt_var,queue_delay,loss_count,dup_ack,loss_rate_ppm,bytes_sent,bytes_acked,pkts_sent,pkts_acked,throughput_kbps,ack_interval,send_interval,inflight,rwnd,event
762709156061,74.48.174.95,170.254.239.167,443,42493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156062,74.48.174.95,170.254.238.72,443,8970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156063,74.48.174.95,170.254.239.154,443,39488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156064,74.48.174.95,170.254.236.234,443,48072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156064,74.48.174.95,123.113.12.83,22,65235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338,0,512,0
762709156065,74.48.174.95,170.254.239.5,443,38704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156066,74.48.174.95,177.66.193.122,443,12265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156067,74.48.174.95,170.254.238.208,443,34550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156068,74.48.174.95,170.254.238.131,443,2264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156069,74.48.174.95,170.254.239.140,443,33356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156070,74.48.174.95,170.254.236.104,443,43981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156071,74.48.174.95,170.254.237.244,443,18170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156072,74.48.174.95,170.254.236.236,443,58344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156073,74.48.174.95,170.254.236.35,443,9739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156074,74.48.174.95,170.254.238.58,443,2329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156075,74.48.174.95,170.254.237.4,443,18623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156076,74.48.174.95,170.254.239.5,443,22976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156077,74.48.174.95,170.254.236.9,443,4541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156078,74.48.174.95,205.164.235.60,443,48235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156079,74.48.174.95,170.254.236.66,443,6848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156080,74.48.174.95,170.254.236.253,443,9915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156081,74.48.174.95,170.254.238.230,443,29639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156082,74.48.174.95,45.181.231.224,443,16052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156082,74.48.174.95,45.78.217.53,22,55288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552131,0,501,0
762709156083,74.48.174.95,170.254.238.250,443,12291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156084,74.48.174.95,170.254.236.163,443,7926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156085,74.48.174.95,170.254.236.85,443,45512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156086,74.48.174.95,177.91.53.26,443,14169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156087,74.48.174.95,170.254.237.93,443,45502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156088,74.48.174.95,170.254.239.145,443,48499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156089,74.48.174.95,170.254.239.74,443,11916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156090,74.48.174.95,170.254.237.134,443,56103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709156091,74.48.174.95,170.254.236.186,443,4515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709676110,74.48.174.95,170.254.238.200,443,15994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709676111,74.48.174.95,170.254.239.58,443,32046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762709676112,74.48.174.95,170.254.236.186,443,4515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762710196101,74.48.174.95,170.254.239.236,443,13669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762710196102,74.48.174.95,170.254.237.76,443,5995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762710196103,74.48.174.95,170.254.238.28,443,49551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762710196104,74.48.174.95,205.164.237.190,443,49078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762710196105,74.48.174.95,170.254.239.58,443,32046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
